0,CombatZoneResize,241,226,406,391,TLResume,,,
0,GasterBlaster,5,406,$HeartY,406,$HeartY,180,0,0.07
0,GasterBlaster,5,$HeartX,226,$HeartX,226,90,0,0.07
0,GasterBlaster,5,$HeartX,391,$HeartX,391,270,0,0.07
2,GetHeartPos,HeartX,HeartY,,,,,,
0.8,GasterBlaster,5,241,$HeartY,241,$HeartY,0,0,0.07
0,GasterBlaster,5,406,$HeartY,406,$HeartY,180,0,0.07
0,GasterBlaster,5,$HeartX,226,$HeartX,226,90,0,0.07
0,GasterBlaster,5,$HeartX,391,$HeartX,391,270,0,0.07
2,GetHeartPos,HeartX,HeartY,,,,,,
0.8,GasterBlaster,5,241,$HeartY,241,$HeartY,0,0,0.07
0,GasterBlaster,5,406,$HeartY,406,$HeartY,180,0,0.07
0,GasterBlaster,5,$HeartX,226,$HeartX,226,90,0,0.07
0,GasterBlaster,5,$HeartX,391,$HeartX,391,270,0,0.07
2,GetHeartPos,HeartX,HeartY,,,,,,
0.8,GasterBlaster,5,241,$HeartY,241,$HeartY,0,0,0.07
0,GasterBlaster,5,406,$HeartY,406,$HeartY,180,0,0.07
0,GasterBlaster,5,$HeartX,226,$HeartX,226,90,0,0.07
0,GasterBlaster,5,$HeartX,391,$HeartX,391,270,0,0.07
,,,,,,,,,
13,EndAttack,,,,,,,,
3.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
