0,CombatZoneResize,241,226,406,391,TLResume,,,
0.08,BoneW,133,$HeartY,200,0,2000,,,
0,BoneW,391,$HeartY,200,2,2000,,,
0.08,BoneR,$HeartX,341,100,1,500,,,
0,BoneR,$HeartX,251,100,3,500,,,
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0.08,BoneW,133,$HeartY,200,0,2000,,,
0,BoneW,391,$HeartY,200,2,2000,,,
0.08,BoneR,$HeartX,341,100,1,500,,,
0,BoneR,$HeartX,251,100,3,500,,,
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0.08,BoneW,133,$HeartY,200,0,2000,,,
0,BoneW,391,$HeartY,200,2,2000,,,
0.08,BoneR,$HeartX,341,100,1,500,,,
0,BoneR,$HeartX,251,100,3,500,,,
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0.08,BoneW,133,$HeartY,200,0,2000,,,
0,BoneW,391,$HeartY,200,2,2000,,,
0.08,BoneR,$HeartX,341,100,1,500,,,
0,BoneR,$HeartX,251,100,3,500,,,
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0.08,BoneW,133,$HeartY,200,0,2000,,,
0,BoneW,391,$HeartY,200,2,2000,,,
0.08,BoneR,$HeartX,341,100,1,500,,,
0,BoneR,$HeartX,251,100,3,500,,,
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0.08,BoneW,133,$HeartY,200,0,2000,,,
0,BoneW,391,$HeartY,200,2,2000,,,
0.08,BoneR,$HeartX,341,100,1,500,,,
0,BoneR,$HeartX,251,100,3,500,,,
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0.08,BoneW,133,$HeartY,200,0,2000,,,
0,BoneW,391,$HeartY,200,2,2000,,,
0.08,BoneR,$HeartX,341,100,1,500,,,
0,BoneR,$HeartX,251,100,3,500,,,
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0.08,BoneW,133,$HeartY,200,0,2000,,,
0,BoneW,391,$HeartY,200,2,2000,,,
0.08,BoneR,$HeartX,341,100,1,500,,,
0,BoneR,$HeartX,251,100,3,500,,,
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0.08,BoneW,133,$HeartY,200,0,2000,,,
0,BoneW,391,$HeartY,200,2,2000,,,
0.08,BoneR,$HeartX,341,100,1,500,,,
0,BoneR,$HeartX,251,100,3,500,,,
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0.08,BoneW,133,$HeartY,200,0,2000,,,
0,BoneW,391,$HeartY,200,2,2000,,,
0.08,BoneR,$HeartX,341,100,1,500,,,
0,BoneR,$HeartX,251,100,3,500,,,
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0.08,BoneW,133,$HeartY,200,0,2000,,,
0,BoneW,391,$HeartY,200,2,2000,,,
0.08,BoneR,$HeartX,341,100,1,500,,,
0,BoneR,$HeartX,251,100,3,500,,,
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0.08,BoneW,133,$HeartY,200,0,2000,,,
0,BoneW,391,$HeartY,200,2,2000,,,
0.08,BoneR,$HeartX,341,100,1,500,,,
0,BoneR,$HeartX,251,100,3,500,,,
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0.08,BoneW,133,$HeartY,200,0,2000,,,
0,BoneW,391,$HeartY,200,2,2000,,,
0.08,BoneR,$HeartX,341,100,1,500,,,
0,BoneR,$HeartX,251,100,3,500,,,
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0.08,BoneW,133,$HeartY,200,0,2000,,,
0,BoneW,391,$HeartY,200,2,2000,,,
0.08,BoneR,$HeartX,341,100,1,500,,,
0,BoneR,$HeartX,251,100,3,500,,,
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0.08,BoneW,133,$HeartY,200,0,2000,,,
0,BoneW,391,$HeartY,200,2,2000,,,
0.08,BoneR,$HeartX,341,100,1,500,,,
0,BoneR,$HeartX,251,100,3,500,,,
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0.08,BoneW,133,$HeartY,200,0,2000,,,
0,BoneW,391,$HeartY,200,2,2000,,,
0.08,BoneR,$HeartX,341,100,1,500,,,
0,BoneR,$HeartX,251,100,3,500,,,
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0.08,BoneW,133,$HeartY,200,0,2000,,,
0,BoneW,391,$HeartY,200,2,2000,,,
0.08,BoneR,$HeartX,341,100,1,500,,,
0,BoneR,$HeartX,251,100,3,500,,,
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0.08,BoneW,133,$HeartY,200,0,2000,,,
0,BoneW,391,$HeartY,200,2,2000,,,
0.08,BoneR,$HeartX,341,100,1,500,,,
0,BoneR,$HeartX,251,100,3,500,,,
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0.08,BoneW,133,$HeartY,200,0,2000,,,
0,BoneW,391,$HeartY,200,2,2000,,,
0.08,BoneR,$HeartX,341,100,1,500,,,
0,BoneR,$HeartX,251,100,3,500,,,
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0.08,BoneW,133,$HeartY,200,0,2000,,,
0,BoneW,391,$HeartY,200,2,2000,,,
0.08,BoneR,$HeartX,341,100,1,500,,,
0,BoneR,$HeartX,251,100,3,500,,,
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0.08,BoneW,133,$HeartY,200,0,2000,,,
0,BoneW,391,$HeartY,200,2,2000,,,
0.08,BoneR,$HeartX,341,100,1,500,,,
0,BoneR,$HeartX,251,100,3,500,,,
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0.08,BoneW,133,$HeartY,200,0,2000,,,
0,BoneW,391,$HeartY,200,2,2000,,,
0.08,BoneR,$HeartX,341,100,1,500,,,
0,BoneR,$HeartX,251,100,3,500,,,
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0.08,BoneW,133,$HeartY,200,0,2000,,,
0,BoneW,391,$HeartY,200,2,2000,,,
0.08,BoneR,$HeartX,341,100,1,500,,,
0,BoneR,$HeartX,251,100,3,500,,,
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0.08,BoneW,133,$HeartY,200,0,2000,,,
0,BoneW,391,$HeartY,200,2,2000,,,
0.08,BoneR,$HeartX,341,100,1,500,,,
0,BoneR,$HeartX,251,100,3,500,,,
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0.08,BoneW,133,$HeartY,200,0,2000,,,
0,BoneW,391,$HeartY,200,2,2000,,,
0.08,BoneR,$HeartX,341,100,1,500,,,
0,BoneR,$HeartX,251,100,3,500,,,
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0.08,BoneW,133,$HeartY,200,0,2000,,,
0,BoneW,391,$HeartY,200,2,2000,,,
0.08,BoneR,$HeartX,341,100,1,500,,,
0,BoneR,$HeartX,251,100,3,500,,,
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0.08,BoneW,133,$HeartY,200,0,2000,,,
0,BoneW,391,$HeartY,200,2,2000,,,
0.08,BoneR,$HeartX,341,100,1,500,,,
0,BoneR,$HeartX,251,100,3,500,,,
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0.08,BoneW,133,$HeartY,200,0,2000,,,
0,BoneW,391,$HeartY,200,2,2000,,,
0.08,BoneR,$HeartX,341,100,1,500,,,
0,BoneR,$HeartX,251,100,3,500,,,
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0.08,BoneW,133,$HeartY,200,0,2000,,,
0,BoneW,391,$HeartY,200,2,2000,,,
0.08,BoneR,$HeartX,341,100,1,500,,,
0,BoneR,$HeartX,251,100,3,500,,,
0.5,GetHeartPos,HeartX,HeartY,,,,,,
0.08,BoneW,133,$HeartY,200,0,2000,,,
0,BoneW,391,$HeartY,200,2,2000,,,
0.08,BoneR,$HeartX,341,100,1,500,,,
0,BoneR,$HeartX,251,100,3,500,,,
1,EndAttack,,,,,,,,
3.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
1.5,GetHeartPos,HeartX,HeartY,,,,,,
0,GasterBlaster,0,0,0,$HeartX,226,90,0,0.15
